湖贝店		深圳市罗湖区中兴路东郊街五巷44号院内 大厦（工业区）数控楼栋1层110-2房
万科广场店	深圳市龙岗区坂田街道杨美社区坂锦路10号万致大厦2015
万达广场店	深圳市龙岗区平湖街道平安大道1号乾龙物流园2栋2楼D区
新洲店		深圳市福田区新洲南村92栋104商铺
上水径店	深圳市龙岗区吉华街道上水径老围10号-04、05铺
民治店		深圳市龙华区民治街道樟坑二区15栋104
龙华店		深圳市龙华区龙华街道和联社区龙环一路和兴装饰城B座103-104
福星店		深圳市福田区福田街道福华社区福星路158号深华宿舍B栋108
八卦岭店	深圳市福田区八卦岭工业 区 542 栋1-106 号商铺
粤海店		深圳市南山区科兴路11号深南花园裙楼B区一层
南油店		深圳市南山区南油社区南油文化广场东滨路3036号一楼Z9
车公庙店	深圳市福田区竹园小区27栋一层008B
龙城店		深圳市龙岗区龙城街道盛平社区竹嘉路21号阳光广场
丹竹头店	深圳市龙岗区南湾街道立信路49号鑫丽华信息产业园A栋1档111室
爱联店		深圳市龙岗区怡苑小区8号102
横岗店		深圳市龙岗区横山街道伟群路2号（伟群五金厂D栋）D栋103房
光明店		深圳市光明区木墩新南村16栋101
石岩店		深圳市宝安区石岩街道上屋社区元径旧村79号79-3
公明店		深圳市光明区公明街道上村社区元山南一巷2-1号2、3、4三个卷门铺面
观城店		深圳市龙华区观湖街道观城社区横坑宝志路17号1栋冠泰厂厂宿舍102
大浪店		深圳市龙华区大浪街道新石社区浪奔路1号1栋A115
新安店		深圳市宝安区新安街道38区新安街道龙井一路C、D栋大厦（工业区）C、D栋1层107号
西丽店		深圳市南山区新围村新围综合楼120号
固戍店		深圳市宝安区西乡街道固戍社区西井路88号中源智创空间2楼205
流塘店		深圳市宝安区宝民二路35号元力科创中心2栋101房
草埔店		深圳市罗湖区草埔吓围村196号102
松岗店		深圳市松岗街道花果山环城路2-16锦文松岗商业中心A栋1楼107铺（房屋编码是2-16号105）
沙井店		深圳市宝安区沙井街道民主九九工业城2#综合楼（105-108）号
坪山店		深圳市坪山区马峦街道坪环社区鹤源五巷3-5
南头店		深圳市南山区南新路以西荔园路以北侧旺海怡苑商铺16号
		
